"Dest_C","Source_C","Total_Tradeflow","Trade_2005_Nominal","Trade_2005_Real","Percentage_Change","Changes_CP"
"Canada","Mexico",2764.468067,4200,3111.58536585366,12.5563866335541,57.6
"Canada","USA",84405.1954,211900,156986.890243902,85.9919753753718,10.5
"Mexico","Canada",829.84,6200,4593.29268292683,453.515458754318,119
"Mexico","USA",42889.913,118600,87865.243902439,104.862257245518,128
"USA","Canada",104923.3396,290300,215069.817073171,104.978051492721,6.1
"USA","Mexico",38225.85451,183600,136020.731707317,255.834378200057,106
