"Country","Source_S","Dest_S","IO_Coeff","VA_Source","Gamma_kjn"
"Mexico","Textile","Textile",0.850845046420613,33.4447304,0.566282214523484
"Mexico","Retail","Textile",0.149154953579387,33.4447304,0.099270481476516
"USA","Textile","Textile",0.847019428397869,31.3429864,0.581538244149767
"USA","Retail","Textile",0.152980571602131,31.3429864,0.105031891850233
"Mexico","Textile","Retail",0.169745008895039,72.5775519,0.0465482369665823
"Mexico","Retail","Retail",0.830254991104961,72.5775519,0.227676244033418
"USA","Textile","Retail",0.0981422110265071,69.3826807,0.0300485141180655
"USA","Retail","Retail",0.901857788973493,69.3826807,0.276124678881935
