"Sector","Source_C","Dest_C","Tariffs1993","Trade_Vol","GO_Source","VA_Source","Trade_Elast","Tradable","NAFTA_Dest","Domsales_Source","Expend","Expend_Source","Expend_Shares","Alpha_Source","Exports_Source","Expend_Dest","Total_Exports_Source","Superavit_Source","VA_Total_Source","VA_Sector","Tariffs2005"
"Textile","Mexico","Mexico",0,0,16918.7761993649,33.4447304,8.1,1,"Mexico",14430.6118659145,0,18060.2261886041,0.799027194632819,0.132148547757674,2488.16433345039,18060.2261886041,2488.16433345039,-586.737668150418,213305.276468371,11316.8781737139,0
"Textile","Mexico","USA",11.9,2488.16433345039,16918.7761993649,33.4447304,8.1,1,"USA",14430.6118659145,2784.25588913099,18060.2261886041,0.0155737407384282,0.132148547757674,2488.16433345039,178778.877592385,2488.16433345039,-586.737668150418,213305.276468371,11316.8781737139,0.0333332999999936
"Retail","Mexico","Mexico",0,0,139153.493750357,72.5775519,8.22,0,"Mexico",139153.493750357,0,139153.493750357,1,0.867851452242326,0,139153.493750357,2488.16433345039,-586.737668150418,213305.276468371,201988.398294657,0
"Retail","Mexico","USA",0,0,139153.493750357,72.5775519,8.22,0,"USA",139153.493750357,0,139153.493750357,0,0.867851452242326,0,2235791.91838215,2488.16433345039,-586.737668150418,213305.276468371,201988.398294657,0
"Textile","USA","Mexico",18.04,3074.90200160081,179069.523704854,31.3429864,8.1,1,"Mexico",175994.621703254,3629.6143226896,178778.877592385,0.200972805367181,0.0783348095783604,3074.90200160081,18060.2261886041,3074.90200160081,586.737668150418,3214756.20861769,112251.472922715,0
"Textile","USA","USA",0,0,179069.523704854,31.3429864,8.1,1,"USA",175994.621703254,0,178778.877592385,0.984426259261572,0.0783348095783604,3074.90200160081,178778.877592385,3074.90200160081,586.737668150418,3214756.20861769,112251.472922715,0
"Retail","USA","Mexico",0,0,2235791.91838215,69.3826807,8.22,0,"Mexico",2235791.91838215,0,2235791.91838215,0,0.92166519042164,0,139153.493750357,3074.90200160081,586.737668150418,3214756.20861769,3102504.73569498,0
"Retail","USA","USA",0,0,2235791.91838215,69.3826807,8.22,0,"USA",2235791.91838215,0,2235791.91838215,1,0.92166519042164,0,2235791.91838215,3074.90200160081,586.737668150418,3214756.20861769,3102504.73569498,0
